report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
2011,308609,2476,44,67,1239,1126,802.3,14.3,21.7,401.5,364.9
2011,589991,3037,20,258,1842,917,514.8,3.4,43.7,312.2,155.4
2011,664844,4075,80,152,1795,2048,612.9,12.0,22.9,270.0,308.0
2011,409014,1724,17,127,900,680,421.5,4.2,31.1,220.0,166.3
2011,471972,3354,36,134,2022,1162,710.6,7.6,28.4,428.4,246.2
2011,190038,1230,7,128,753,342,647.2,3.7,67.4,396.2,180.0
2011,1355339,7038,89,492,4672,1785,519.3,6.6,36.3,344.7,131.7
2011,1316919,5104,38,293,3317,1456,387.6,2.9,22.3,251.9,110.6
2011,814701,5374,50,131,2105,3088,659.6,6.1,16.1,258.4,379.0
2011,957062,3206,39,226,1840,1101,335.0,4.1,23.6,192.3,115.0
2011,618209,3664,20,100,2126,1418,592.7,3.2,16.2,343.9,229.4
2011,320454,5950,113,188,3522,2127,1856.7,35.3,58.7,1099.1,663.8
2011,1339464,1862,32,42,1040,748,139.0,2.4,3.1,77.6,55.8
2011,340284,2228,28,58,1555,587,654.8,8.2,17.0,457.0,172.5
2011,527479,3440,51,204,2022,1163,652.2,9.7,38.7,383.3,220.5
2011,396101,3960,49,266,2555,1090,999.8,12.4,67.2,645.0,275.2
2011,443226,784,15,65,290,414,176.9,3.4,14.7,65.4,93.4
2011,617996,6985,108,172,2949,3756,1130.3,17.5,27.8,477.2,607.8
2011,384796,2963,25,245,2203,490,770.0,6.5,63.7,572.5,127.3
2012,553684,4151,41,278,2740,1092,749.7,7.4,50.2,494.9,197.2
2012,379295,1909,17,135,1225,532,503.3,4.5,35.6,323.0,140.3
2012,437041,6027,83,113,3555,2276,1379.1,19.0,25.9,813.4,520.8
2012,336952,1400,17,172,729,482,415.5,5.1,51.1,216.4,143.1
2012,832901,3405,31,209,2187,978,408.8,3.7,25.1,262.6,117.4
2012,817761,4145,24,145,2609,1367,506.9,2.9,17.7,319.0,167.2
2012,625474,8789,216,317,4651,3605,1405.2,34.5,50.7,743.6,576.4
2012,630648,5266,57,249,3050,1910,835.0,9.0,39.5,483.6,302.9
2012,262434,3382,48,138,1808,1388,1288.7,18.3,52.6,688.9,528.9
2012,808504,5238,52,223,3165,1798,647.9,6.4,27.6,391.5,222.4
2012,2708382,27620,500,1372,12272,13476,1019.8,18.5,50.7,453.1,497.6
2012,296204,2903,47,199,931,1726,980.1,15.9,67.2,314.3,582.7
2012,393781,5469,85,373,1754,3257,1388.8,21.6,94.7,445.4,827.1
2012,797384,4808,71,590,1116,3031,603.0,8.9,74.0,140.0,380.1
2012,1241549,8380,154,486,3647,4093,675.0,12.4,39.1,293.8,329.7
2012,628545,3885,39,383,2295,1168,618.1,6.2,60.9,365.1,185.8
2012,707096,15023,386,442,9345,4850,2124.6,54.6,62.5,1321.6,685.9
2012,675536,2859,23,184,2181,471,423.2,3.4,27.2,322.9,69.7
2012,1072723,858,16,115,384,343,80.0,1.5,10.7,35.8,32.0
2012,770101,4526,46,391,2809,1280,587.7,6.0,50.8,364.8,166.2
2012,506011,2748,51,54,1628,1015,543.1,10.1,10.7,321.7,200.6
2012,975875,2336,11,165,1246,914,239.4,1.1,16.9,127.7,93.7
2012,2177273,21610,217,665,11343,9385,992.5,10.0,30.5,521.0,431.0
2012,838650,9942,97,436,5967,3442,1185.5,11.6,52.0,711.5,410.4
