report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1991,403085,16327,205,676,8967,6479,4050.5,50.9,167.7,2224.6,1607.4
1991,227670,3746,11,184,2987,564,1645.4,4.8,80.8,1312,247.7
1991,475558,2968,49,276,1088,1555,624.1,10.3,58,228.8,327
1991,703563,7618,25,271,5183,2139,1082.8,3.6,38.5,736.7,304
1991,748099,19032,304,701,7257,10770,2544.1,40.6,93.7,970.1,1439.7
1991,572454,11829,113,486,6446,4784,2066.4,19.7,84.9,1126,835.7
1991,329353,6042,50,319,2968,2705,1834.5,15.2,96.9,901.2,821.3
1991,402618,8760,114,407,5340,2899,2175.8,28.3,101.1,1326.3,720
1991,2811478,90520,925,3575,42237,43783,3219.7,32.9,127.2,1502.3,1557.3
1991,367123,5794,54,478,2947,2315,1578.2,14.7,130.2,802.7,630.6
1991,509898,9341,175,913,3121,5132,1831.9,34.3,179.1,612.1,1006.5
1991,638533,7221,138,650,2686,3747,1130.9,21.6,101.8,420.7,586.8
1991,1028362,26411,500,1208,13449,11254,2568.3,48.6,117.5,1307.8,1094.4
1991,479468,5034,88,427,2884,1635,1049.9,18.4,89.1,601.5,341
1991,1036246,28262,615,1427,12651,13569,2727.3,59.4,137.7,1220.9,1309.4
1991,526339,5616,49,265,3818,1484,1067,9.3,50.4,725.4,282
1991,800147,954,20,100,357,477,119.2,2.5,12.5,44.6,59.6
1991,457171,8914,195,442,4851,3426,1949.8,42.7,96.7,1061.1,749.4
1991,361580,4608,52,282,2092,2182,1274.4,14.4,78,578.6,603.5
1991,856432,2058,29,275,894,860,240.3,3.4,32.1,104.4,100.4
1991,1665756,26651,608,1213,10947,13883,1599.9,36.5,72.8,657.2,833.4
1991,489392,7072,95,561,4415,2001,1445.1,19.4,114.6,902.1,408.9
1991,653515,10645,119,716,5964,3846,1628.9,18.2,109.6,912.6,588.5
1991,438188,12413,135,477,6846,4955,2832.8,30.8,108.9,1562.3,1130.8
1991,656391,5661,103,433,1932,3193,862.4,15.7,66,294.3,486.5
1991,438378,9209,94,284,4760,4071,2100.7,21.4,64.8,1085.8,928.7
1991,990838,17018,226,418,11847,4527,1717.5,22.8,42.2,1195.7,456.9
1991,3558316,89875,1027,1966,47104,39778,2525.8,28.9,55.3,1323.8,1117.9
1991,619981,8818,169,653,3492,4504,1422.3,27.3,105.3,563.2,726.5
1991,294754,2058,15,156,1498,389,698.2,5.1,52.9,508.2,132
1991,1064064,19139,159,747,9598,8635,1798.7,14.9,70.2,902,811.5
1991,367945,15420,125,236,6582,8477,4190.8,34,64.1,1788.9,2303.9
1991,636342,6228,163,502,1311,4252,978.7,25.6,78.9,206,668.2
1991,373303,5889,64,744,2471,2610,1577.5,17.1,199.3,661.9,699.2
1991,757060,2445,22,210,1234,979,323,2.9,27.7,163,129.3
1991,507328,7989,88,514,4739,2648,1574.7,17.4,101.3,934.1,522
1991,1013708,2287,27,85,994,1181,225.6,2.7,8.4,98.1,116.5
1991,500791,10969,345,302,4353,5969,2190.3,68.9,60.3,869.2,1191.9
1991,7350023,170390,2154,2892,66832,98512,2318.2,29.3,39.4,909.3,1340.3
1991,276510,9402,88,244,3869,5201,3400.2,31.8,88.2,1399.2,1880.9
1991,379995,9484,149,460,4942,3933,2495.8,39.2,121.1,1300.5,1035
1991,449025,5066,56,473,3038,1499,1128.2,12.5,105.3,676.6,333.8
1991,338987,3242,35,207,2366,634,956.4,10.3,61.1,698,187
1991,169009,2011,10,81,1161,759,1189.9,5.9,47.9,687,449.1
1991,1596699,22451,440,904,7186,13921,1406.1,27.6,56.6,450.1,871.9
1991,995895,11010,128,480,6954,3448,1105.5,12.9,48.2,698.3,346.2
1991,372349,4294,36,300,1254,2704,1153.2,9.7,80.6,336.8,726.2
1991,449671,8121,53,464,4881,2723,1806,11.8,103.2,1085.5,605.6
1991,622433,7702,140,453,3313,3796,1237.4,22.5,72.8,532.3,609.9
1991,211350,1761,25,120,964,652,833.2,11.8,56.8,456.1,308.5
1991,377058,4896,66,221,2329,2280,1298.5,17.5,58.6,617.7,604.7
1991,164313,1319,14,182,649,474,802.7,8.5,110.8,395,288.5
1991,955905,7573,208,698,2889,3778,792.2,21.8,73,302.2,395.2
1991,1133681,13830,167,472,7860,5331,1219.9,14.7,41.6,693.3,470.2
1991,739039,12160,95,400,4645,7020,1645.4,12.9,54.1,628.5,949.9
1991,798542,5258,53,445,3432,1328,658.5,6.6,55.7,429.8,166.3
